Remove Pin=P10-10 From Net=SLAVE_1
Change Component Designator: OldDesignator=C1 NewDesignator=C?
Change Component Designator: OldDesignator=C2 NewDesignator=C?
Change Component Designator: OldDesignator=C3 NewDesignator=C?
Change Component Designator: OldDesignator=C4 NewDesignator=C?
Change Component Designator: OldDesignator=G1 NewDesignator=G?
Change Component Designator: OldDesignator=l1 NewDesignator=l?
Change Component Designator: OldDesignator=l2 NewDesignator=l?
Change Component Designator: OldDesignator=L3 NewDesignator=L?
Change Component Designator: OldDesignator=l4 NewDesignator=l?
Change Component Designator: OldDesignator=L5 NewDesignator=L?
Change Component Designator: OldDesignator=l6 NewDesignator=l?
Change Component Designator: OldDesignator=LV1 NewDesignator=LV?
Change Component Designator: OldDesignator=P1 NewDesignator=P?
Change Component Designator: OldDesignator=P2 NewDesignator=P?
Change Component Designator: OldDesignator=P3 NewDesignator=P?
Change Component Designator: OldDesignator=P4 NewDesignator=P?
Change Component Designator: OldDesignator=P5 NewDesignator=P?
Change Component Designator: OldDesignator=P6 NewDesignator=P?
Change Component Designator: OldDesignator=P7 NewDesignator=P?
Change Component Designator: OldDesignator=P8 NewDesignator=P?
Change Component Designator: OldDesignator=P9 NewDesignator=P?
Change Component Designator: OldDesignator=P10 NewDesignator=P?
Change Component Designator: OldDesignator=P11 NewDesignator=P?
Change Component Designator: OldDesignator=R1 NewDesignator=R?
Change Component Designator: OldDesignator=R2 NewDesignator=R?
Change Component Designator: OldDesignator=R3 NewDesignator=R?
Change Component Designator: OldDesignator=R4 NewDesignator=R?
Change Component Designator: OldDesignator=R5 NewDesignator=R?
Change Component Designator: OldDesignator=R6 NewDesignator=R?
Change Component Designator: OldDesignator=R7 NewDesignator=R?
Change Component Designator: OldDesignator=R8 NewDesignator=R?
Change Component Designator: OldDesignator=Reg_Rosetta1 NewDesignator=Reg_Rosetta?
Change Component Designator: OldDesignator=Reulator1 NewDesignator=Reulator?
Change Component Designator: OldDesignator=Y1 NewDesignator=Y?
Change Component Designator: OldDesignator=Y2 NewDesignator=Y?
